Waste_Type,2021,2022,2023
Frazione umida (t),131984.72,136782.02,135903.55
Verde (t),1377.59,2428.95,2047.50
Carta e cartone (t),80569.57,79736.91,83132.28
Vetro (t),65012.33,68850.93,68161.91
Legno (t),7775.62,6445.81,10314.91
Metallo (t) ,2679.25,2312.55,2250.00
Plastica (t),45848.98,46474.31,54383.31
RAEE (t),3433.34,2780.52,2792.54
Tessili (t),4184.27,3994.20,4107.99
Selettiva (t),996027.00,909610.00,867964.00
Rifiuti da C e D (t),5814.06,3781.32,5163.57
Pulizia stradale a recupero (t),17443.13,16427.90,15794.48
Ingombranti misti a recupero (t),22211.43,20189.47,20369.25
Altro (t),3936.73,3459.33,1759.90
Totale RD (t),393267.02,394573.83,407049.14
Indifferenziato (t),235749.94,240648.92,244847.96
Totale RU (t),629031.32,635225.39,651897.10
Percentuale RD (%),0.63,0.62,0.62